ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	source
GO:0044773	mitotic DNA damage checkpoint signaling	15/991	66/18842	0.227272727272727	4.32116319603706	6.36822168224634	1.26019083130146e-06	4.93994805870171e-05	4.93994805870171e-05	BRCA1/DTL/BRSK1/TIPIN/BLM/EME1/STK33/TIMELESS/PLK1/CDK1/FANCD2/TICRR/CLSPN/CDKN1A/CDC7	15	GO:BP
GO:0045814	negative regulation of gene expression, epigenetic	33/991	252/18842	0.130952380952381	2.48981307962135	5.60983238587435	1.27783349609002e-06	4.97593440861545e-05	4.97593440861545e-05	LMNB1/BRCA1/H2AC16/H3C11/H3C15/H2AC13/H2AC7/LMNB2/H2AC15/H3C13/HELLS/LBR/H2AC8/PHF19/SUV39H1/H2AC12/H2AC21/H3C1/H3C4/H3C8/UHRF1/H2AC17/H3C14/H2AC4/H2AC11/CENPA/H2AX/OIP5/H2AZ2/H1-2/H3C7/H3C12/H3C10	33	GO:BP
GO:0007098	centrosome cycle	23/991	143/18842	0.160839160839161	3.05805395411854	5.82067178473598	1.57959759329683e-06	6.11054858459562e-05	6.11054858459562e-05	XRCC2/HAUS8/BRCA1/PCLAF/SGO1/BRSK1/CEP72/BRCA2/CCNF/PLK4/CCDC15/WDR62/NDC80/ITGB1BP2/PLK1/NEK2/CDK1/AURKA/XRCC3/KIF15/CCDC102B/KIF11/HAUS5	23	GO:BP
GO:0061982	meiosis I cell cycle process	21/991	125/18842	0.168	3.1942038345106	5.79924401611649	2.16865939494186e-06	8.33445571389419e-05	8.33445571389419e-05	CDC20/SGO1/MND1/SGO2/TOP2A/MYBL1/BRCA2/PSMC3IP/RAD54L/EME1/PTTG1/RAD51/NDC80/CDC25B/RAD51AP1/TRIP13/CDC25C/FANCD2/PKMYT1/DMC1/KNL1	21	GO:BP
GO:0032465	regulation of cytokinesis	18/991	97/18842	0.185567010309278	3.52820747552717	5.88184238949582	2.65127408507538e-06	0.000101230465066515	0.000101230465066515	E2F7/KIF14/KIF20B/CDC6/KIF20A/KIF23/INCENP/AURKB/RACGAP1/CDCA8/CDC25B/RAB11A/E2F8/PLK1/AURKA/PRC1/CIT/BIRC5	18	GO:BP
GO:0055013	cardiac muscle cell development	15/991	70/18842	0.214285714285714	4.07423958483494	6.07140193409903	2.78121862330807e-06	0.000105506874226138	0.000105506874226138	MYLK3/BMP4/NEB/CXADR/TTN/PDLIM5/CCNB1/RGS2/EDN1/CDK1/VEGFA/MYH11/ASB2/ACTC1/RGS4	15	GO:BP
GO:0000910	cytokinesis	27/991	195/18842	0.138461538461538	2.63258557789335	5.39940995560054	4.03444093470891e-06	0.00015206738907749	0.00015206738907749	E2F7/ANLN/KIF14/KIF20B/CDC6/KIF20A/KIF23/KIF4B/INCENP/KIF4A/AURKB/RACGAP1/CDCA8/CDC25B/RAB11A/E2F8/PLK1/AURKA/ESPL1/NUSAP1/PRC1/CENPA/CIT/CEP55/TRIM36/BIRC5/IQGAP3	27	GO:BP
GO:0051302	regulation of cell division	26/991	184/18842	0.141304347826087	2.68663624797087	5.41695619732515	4.14829795233757e-06	0.000155363006113025	0.000155363006113025	E2F7/KIF14/KIF20B/CDC6/KIF18B/KIF20A/TXNIP/KIF23/INCENP/AURKB/THBS4/RACGAP1/CDCA8/BLM/EVI2B/EREG/PDGFB/CDC25B/RAB11A/E2F8/PLK1/VEGFA/AURKA/PRC1/CIT/BIRC5	26	GO:BP
GO:0045740	positive regulation of DNA replication	11/991	40/18842	0.275	5.22860746720484	6.307871983942	4.55697894377145e-06	0.000169588836641621	0.000169588836641621	E2F7/PCNA/ATAD5/GLI1/EREG/E2F8/ENDOG/CDK1/CDT1/CDKN1A/CDC7	11	GO:BP
GO:0044771	meiotic cell cycle phase transition	7/991	15/18842	0.466666666666667	8.8727884291961	7.18689294587002	4.83383722393744e-06	0.000178760772809762	0.000178760772809762	CDC20/NDC80/CDC25B/CDC25C/TTK/PKMYT1/KNL1	7	GO:BP
