# Gyne-DEG Atlas Machine Learning Gene Panel (RandomForest)
# CV Type: LeaveOneDatasetOut
# Mean AUROC: 0.6205
# Fold Details: GSE102293=0.8750, GSE106724=0.5000, GSE114419=0.5000, GSE137684=0.3125, GSE199225=0.5750, GSE207000=0.9444, GSE262302=0.5000, GSE286315=0.4444, GSE316028=1.0000, GSE34526=0.1667, GSE40007=0.5000, GSE44207=0.5000, GSE47360=0.6944, GSE51981=0.6889, GSE56854=0.5000, GSE6364=0.3824, GSE6798=0.8462, GSE75425=0.8750, GSE8157=0.9846
# Total samples: 397 (Cases: 206, Controls: 191)
# Total features: 1247
gene	coefficient	mean_abs_shap
SNCAIP	0.0012243335992160086	0.0012243335992160086
CUBN	0.0012236030598543638	0.0012236030598543638
SNAI1	0.0012133000921364246	0.0012133000921364246
ZNF488	0.0012127267766149068	0.0012127267766149068
IFFO2	0.0012122485454559503	0.0012122485454559503
SERPINE2	0.0012110311447325536	0.0012110311447325536
CXADR	0.0012084020709201765	0.0012084020709201765
MEX3A	0.0012050305005109334	0.0012050305005109334
WDR62	0.001201802953373521	0.001201802953373521
SH2D4A	0.001201750308391947	0.001201750308391947
CDC45	0.001200062335893565	0.001200062335893565
SEMA3C	0.0011995741071405377	0.0011995741071405377
PHF19	0.001199511842539331	0.001199511842539331
LRP1B	0.0011988983771254588	0.0011988983771254588
MCM10	0.0011973676563262297	0.0011973676563262297
XRCC2	0.0011960416345927311	0.0011960416345927311
PABPC4L	0.0011953714526093577	0.0011953714526093577
PCDH19	0.00119441040526237	0.00119441040526237
APCDD1	0.0011893786094957224	0.0011893786094957224
CDS1	0.0011889163749027173	0.0011889163749027173
CADM1	0.0011887298488325545	0.0011887298488325545
ZNF408	0.0011879606830971993	0.0011879606830971993
EHD3	0.0011864803153209104	0.0011864803153209104
FUNDC1	0.0011854164287715243	0.0011854164287715243
ZBED2	0.0011845808683466602	0.0011845808683466602
FOXM1	0.001182842459495717	0.001182842459495717
LGALS9	0.001177007328737857	0.001177007328737857
STEAP1B	0.0011707879494423628	0.0011707879494423628
KCNJ2	0.0011707555141971995	0.0011707555141971995
PLXDC1	0.001166526697344123	0.001166526697344123
DNAJC3	0.001164058161389201	0.001164058161389201
CORO6	0.0011615885296626576	0.0011615885296626576
RBL1	0.0011613846399625382	0.0011613846399625382
CDC20	0.001149345801636891	0.001149345801636891
HK2	0.0011489056431118027	0.0011489056431118027
PLAU	0.001148839030481603	0.001148839030481603
BLM	0.0011488246853988452	0.0011488246853988452
FLI1	0.0011449042866310442	0.0011449042866310442
ARHGAP33	0.0011432794691173124	0.0011432794691173124
ISG20	0.0011367078768082732	0.0011367078768082732
SAMD3	0.001130822415831459	0.001130822415831459
RAD51AP1	0.00113046162839659	0.00113046162839659
SPC25	0.0011295031753467428	0.0011295031753467428
GINS2	0.0011289326349710753	0.0011289326349710753
SLC27A2	0.0011279493295338905	0.0011279493295338905
ZNF561	0.0011273346977537552	0.0011273346977537552
GLI1	0.0011230880468002325	0.0011230880468002325
HSPB3	0.0011221321684530042	0.0011221321684530042
ROS1	0.0011212212339072596	0.0011212212339072596
TP53INP1	0.0011208958928847568	0.0011208958928847568
LIG1	0.001118265099460928	0.001118265099460928
SYNE2	0.0011177783898670846	0.0011177783898670846
MDFIC	0.0011177677178624995	0.0011177677178624995
CBLB	0.0011128562232471902	0.0011128562232471902
SLC29A4	0.0011126972744160137	0.0011126972744160137
ARHGAP26	0.0011046078689445093	0.0011046078689445093
OAT	0.0011040605298205072	0.0011040605298205072
ASB5	0.0011016500844365173	0.0011016500844365173
DNAH12	0.0011015731898073441	0.0011015731898073441
NLRP10	0.0010926147305007393	0.0010926147305007393
GSTA1	0.001090967891302674	0.001090967891302674
KCTD18	0.0010903013381872483	0.0010903013381872483
RRM2	0.0010887329362808985	0.0010887329362808985
LFNG	0.0010880723718855905	0.0010880723718855905
MTSS1	0.0010871928344479678	0.0010871928344479678
RPIA	0.0010854517802668048	0.0010854517802668048
CCL5	0.0010781434459041714	0.0010781434459041714
CDON	0.0010774952557488302	0.0010774952557488302
ENOX1	0.001075582399219116	0.001075582399219116
PALMD	0.0010723617748961238	0.0010723617748961238
TES	0.0010682341725192477	0.0010682341725192477
TM4SF1	0.0010679824806187318	0.0010679824806187318
PAG1	0.0010643587477938694	0.0010643587477938694
