gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
ELOA	-0.102274439039673	0.196551276605035	0.679982864888903	1	DOWN
PITHD1	3.30492694110384	0.37033340582654	0.679982864888903	3	UP
LYPLA2	10.8836560733611	0.49915356108406	0.679982864888903	3	UP
GALE	7.64268158576647	0.470730374445312	0.679982864888903	3	UP
HMGCL	-7.37530134111092	0.327650025990365	0.679982864888903	3	DOWN
FUCA1	-7.81568370251993	0.243734908955667	0.679982864888903	3	DOWN
PNRC2	-13.8175520698735	0.395260495167368	0.679982864888903	3	DOWN
SRSF10	-0.600528441752008	0.449744557705131	0.679982864888903	3	DOWN
MYOM3	26.5004353346089	0.113418787143038	0.679982864888903	3	UP
STPG1	1.52294164887473	0.552880240958497	0.686315759384135	3	UP
NIPAL3	2.13642243218123	0.244356228395059	0.679982864888903	3	UP
RCAN3	3.4767390442784	0.164786177602768	0.679982864888903	3	UP
SRRM1	-4.17097105001911	0.656240319171334	0.729729200750054	3	DOWN
CLIC4	-3.54406725360049	0.551844662031754	0.68606934954466	3	DOWN
RUNX3	-3.71781801709911	0.353973143238468	0.679982864888903	3	DOWN
SYF2	1.18959402012887	0.534266588930601	0.682664717790524	3	UP
RSRP1	-0.170289381876422	0.410484876820048	0.679982864888903	1	DOWN
RHD	0.649357533992171	0.470037030885868	0.679982864888903	3	UP
TMEM50A	-8.66536351518803	0.292247260609089	0.679982864888903	3	DOWN
RHCE	0.299092624996158	0.195000667500916	0.679982864888903	3	UP
MACO1	-0.100702186282933	0.0686990946898537	0.679982864888903	1	DOWN
LDLRAP1	12.2105176816656	0.313677747635089	0.679982864888903	3	UP
MAN1C1	-2.28027351534748	0.535813489808609	0.682985712350809	3	DOWN
SELENON	-0.10555754219072	0.393369894245144	0.679982864888903	1	DOWN
MTFR1L	-27.8706569320613	0.295113086759918	0.679982864888903	3	DOWN
AUNIP	-13.169767339997	0.229674576403459	0.679982864888903	3	DOWN
PAQR7	8.48380270016521	0.435992208435421	0.679982864888903	3	UP
STMN1	6.58461401517957	0.275101759017763	0.679982864888903	3	UP
PAFAH2	0.722244294589124	0.538893463301619	0.683130863390692	3	UP
EXTL1	-5.61728600476913	0.379970710985028	0.679982864888903	3	DOWN
SLC30A2	1.36345425752834	0.338119987420617	0.679982864888903	3	UP
TRIM63	-34.1683245254102	0.573319374042112	0.693399063950134	3	DOWN
PDIK1L	-7.93921848012818	0.339942541740262	0.679982864888903	3	DOWN
ZNF593OS	0.729817318325774	0.0111090887363515	0.466784350884134	1	UP
CEP85	36.5704648428544	0.0508077659555706	0.679982864888903	3	UP
SH3BGRL3	-4.49760283672606	0.70707107305978	0.7604214762533	3	DOWN
UBXN11	2.38679556750839	0.445636045170085	0.679982864888903	3	UP
DHDDS	11.2259686074915	0.263709727485985	0.679982864888903	3	UP
HMGN2	-98.4793772979829	0.125898347046994	0.679982864888903	3	DOWN
RPS6KA1	-11.3300784904188	0.361440628770598	0.679982864888903	3	DOWN
RN7SL679P	0.133232884026379	0.630024010125426	0.716099131302761	1	UP
ARID1A	-2.2641915723504	0.52859904656455	0.682276564810598	3	DOWN
PIGV	2.77566003743984	0.268408000532932	0.679982864888903	3	UP
ZDHHC18	-2.13798184308258	0.515548393000297	0.68061350662552	3	DOWN
GPN2	-5.55756987261527	0.249399791845478	0.679982864888903	3	DOWN
GPATCH3	-7.57776220840414	0.377199851386866	0.679982864888903	3	DOWN
NUDC	1.67851353036505	0.530656350203348	0.68257366641039	3	UP
TRNP1	5.91145791948214	0.0943830440664229	0.679982864888903	3	UP
TENT5B	0.316015836236609	0.250712454042854	0.679982864888903	1	UP
SLC9A1	5.9733319597566	0.146202143434679	0.679982864888903	3	UP
NPM1P39	-0.422702754322341	0.0812176095648601	0.679982864888903	1	DOWN
WDTC1	0.385725515314476	0.724504299403861	0.77232387609059	3	UP
TMEM222	46.3006133697109	0.408431532807793	0.679982864888903	3	UP
MAP3K6	-1.34872257672405	0.36285752209034	0.679982864888903	3	DOWN
GPR3	0.00858719036052783	0.739360712155408	0.782491105939568	3	UP
WASF2	4.21833924470982	0.316776606431888	0.679982864888903	3	UP
AHDC1	7.84871743302591	0.0917105762512518	0.679982864888903	3	UP
IFI6	-8.13704199787044	0.297342478711173	0.679982864888903	3	DOWN
FAM76A	0.101122713932913	0.644157965789471	0.72342720743374	3	UP
STX12	-7.68328969288968	0.536827678980479	0.682985712350809	3	DOWN
PPP1R8	10.8444926178434	0.304816894184189	0.679982864888903	3	UP
SCARNA1	0.324859795870669	0.0986494320452103	0.679982864888903	1	UP
THEMIS2	0.856693579661151	0.258047669328817	0.679982864888903	3	UP
RPA2	-4.29263094403205	0.550509579405827	0.685834381835782	3	DOWN
XKR8	20.6241077734468	0.573738253827865	0.693481682351656	3	UP
EYA3	0.748960192093785	0.430943426561012	0.679982864888903	3	UP
DNAJC8	1.83578584079046	0.450065012198083	0.679982864888903	3	UP
ATP5IF1	-0.240030287002958	0.0110792027665658	0.466784350884134	1	DOWN
SESN2	5.06183480939308	0.274368253400028	0.679982864888903	3	UP
MED18	-0.0337496892193885	0.606270288410685	0.704521908076859	1	DOWN
PHACTR4	-1.17411234101146	0.784625287242211	0.814799510288157	3	DOWN
RCC1	5.22070409981898	0.500794055483958	0.679982864888903	3	UP
SNHG3	2.03367421133289	0.586742435971742	0.697337654334571	3	UP
SNORA73B	0.519355794326194	0.0034554375862799	0.298836982335065	1	UP
TRNAU1AP	-2.25238275791371	0.319739654170829	0.679982864888903	3	DOWN
SNHG12	5.87465786204688	0.315120750820932	0.679982864888903	3	UP
SNORD99	0.45231852668185	0.0589806788815592	0.679982864888903	1	UP
TAF12	-7.08252125828414	0.0270166855214697	0.593954578235264	3	DOWN
RAB42	-1.59725470889046	0.418175416337441	0.679982864888903	3	DOWN
GMEB1	2.3558649900874	0.492585486349521	0.679982864888903	3	UP
YTHDF2	-6.02739278652953	0.698122424642712	0.75526983620458	3	DOWN
OPRD1	-3.77861763383936	0.184882956771155	0.679982864888903	3	DOWN
EPB41	4.55726569207859	0.0682626498851625	0.679982864888903	3	UP
TMEM200B	2.16613815610821	0.361200091748577	0.679982864888903	3	UP
SRSF4	-2.01152011600747	0.711519547675632	0.763505570965313	3	DOWN
MECR	3.35861087533917	0.722531839550085	0.770863239169902	3	UP
PTPRU	12.6890357870416	0.400457970481377	0.679982864888903	3	UP
MATN1-AS1	0.112291557649448	0.406046794582076	0.679982864888903	3	UP
LAPTM5	13.4418341928775	0.269915808424262	0.679982864888903	3	UP
SDC3	16.7002652670585	0.0417556870946065	0.672689637466855	3	UP
PUM1	-5.53695156799281	0.741541699306477	0.784093969208892	3	DOWN
NKAIN1	-5.86099791689705	0.262066102946614	0.679982864888903	3	DOWN
SNRNP40	6.29154793353387	0.274791429768749	0.679982864888903	3	UP
ZCCHC17	-0.333417700661486	0.51563291724294	0.68061350662552	3	DOWN
FABP3	-14.1406561212029	0.635598539413268	0.719146387201779	3	DOWN
SERINC2	-1.54458481660104	0.179490256353834	0.679982864888903	3	DOWN
TINAGL1	-8.52542956925769	0.322168456562445	0.679982864888903	3	DOWN
PEF1	32.9197439551957	0.0976814174383365	0.679982864888903	3	UP
COL16A1	-7.41875172419887	0.0858196740803178	0.679982864888903	3	DOWN
ADGRB2	0.301235846690847	0.0447292151330346	0.679982864888903	1	UP
SPOCD1	8.90645989499561	0.307707167875778	0.679982864888903	3	UP
PTP4A2	38.879782763107	0.282700165576184	0.679982864888903	3	UP
KHDRBS1	-28.2135033530584	0.0816720622571946	0.679982864888903	3	DOWN
TMEM39B	5.37664994173815	0.357476393427768	0.679982864888903	3	UP
KPNA6	-1.75532979585462	0.417847126620131	0.679982864888903	3	DOWN
TXLNA	13.4931265200757	0.163227319228485	0.679982864888903	3	UP
CCDC28B	0.406352013694964	0.359804585043243	0.679982864888903	3	UP
IQCC	-2.19752377040616	0.491896424522581	0.679982864888903	3	DOWN
DCDC2B	2.22811786360887	0.326020890023242	0.679982864888903	3	UP
TMEM234	4.93499313625119	0.176005409273852	0.679982864888903	3	UP
EIF3I	-26.1428604152426	0.236459269681564	0.679982864888903	3	DOWN
FAM167B	-5.06377613523679	0.440259092144702	0.679982864888903	3	DOWN
HDAC1	14.9683831666955	0.073476446194549	0.679982864888903	3	UP
MARCKSL1	-5.32849599488067	0.28121844208713	0.679982864888903	3	DOWN
FAM229A	1.47013598666245	0.517378051315742	0.680829204568273	3	UP
BSDC1	8.08640962105427	0.0503289857230229	0.679982864888903	3	UP
ZBTB8A	-2.120650720999	0.483666462535483	0.679982864888903	3	DOWN
ZBTB8OS	-17.5251522734636	0.0804263065007411	0.679982864888903	3	DOWN
RBBP4	4.24663664791579	0.50892010197891	0.680202445404356	3	UP
SYNC	90.5932219522003	0.157681935720642	0.679982864888903	3	UP
NHSL3	-0.080583672884298	0.423918500873199	0.679982864888903	1	DOWN
YARS1	0.237715658989589	0.00888392523515958	0.432253120757473	1	UP
S100PBP	-4.3640728812183	0.360370257637053	0.679982864888903	3	DOWN
FNDC5	-6.62333647866939	0.617357855300116	0.709610872337465	3	DOWN
TMEM54	3.70668968589016	0.369813393785648	0.679982864888903	3	UP
RNF19B	0.494002748375099	0.54897519839049	0.685140001243082	3	UP
AK2	-1.12312090251346	0.704228906922814	0.758671651726165	3	DOWN
AZIN2	29.789112935252	0.190104705761989	0.679982864888903	3	UP
TRIM62	-6.46709618192137	0.152905671620563	0.679982864888903	3	DOWN
ZNF362	-0.161253302022475	0.637915806074645	0.720082412764601	3	DOWN
PHC2	11.2481375530104	0.322752526112022	0.679982864888903	3	UP
ZSCAN20	0.659605383092837	0.258910890842602	0.679982864888903	3	UP
CSMD2	3.0698121631242	0.238308167669064	0.679982864888903	3	UP
SMIM12	-2.96498564821574	0.472515141491849	0.679982864888903	3	DOWN
TMEM35B	-0.0833481866942075	0.50037122523165	0.679982864888903	1	DOWN
ZMYM6	-3.43963901100262	0.356491844523476	0.679982864888903	3	DOWN
ZMYM1	-7.1507128683871	0.147635408699767	0.679982864888903	3	DOWN
SFPQ	-0.31268774776683	0.530944201128415	0.68257366641039	3	DOWN
ZMYM4	-21.9621866818961	0.173858531702686	0.679982864888903	3	DOWN
KIAA0319L	-2.50134041098334	0.466208407984658	0.679982864888903	3	DOWN
NCDN	6.75892911209904	0.0321013969242092	0.621795082337692	3	UP
TFAP2E	17.1529092270836	0.140158643744868	0.679982864888903	3	UP
