gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
AC003681.1	-0.229272089852203	1	1	1	DOWN
AC003957.1	1.66739990958085	1	1	1	UP
AC003973.4	-0.0734090376127388	1	1	2	DOWN
AC003986.5	-0.263931384336648	1	1	2	UP
AC003989.4	0.373183310872552	1	1	2	UP
AC004034.1	1.98002162964885	1	1	1	UP
AC004057.1	0.435670503512256	0.272141796792085	1	2	UP
AC004067.6	0.321757023620846	1	1	1	UP
AC004069.1	0.209166053235358	1	1	1	UP
AC004076.2	-0.0101238911112139	1	1	1	DOWN
AC004076.7	-0.124245392500625	1	1	1	DOWN
AC004130.2	1.37595059959276	1	1	1	UP
AC004148.1	-0.145643473752293	1	1	1	DOWN
AC004158.3	-0.82276517728822	1	1	2	UP
AC004241.1	0.842730081644684	1	1	1	UP
AC004241.3	-0.0759248208986358	1	1	1	DOWN
AC004253.1	-0.0849187640469706	1	1	1	DOWN
AC004263.2	-0.433978057297788	1	1	1	DOWN
AC004264.1	0.643067764406001	1	1	1	UP
AC004381.3	-1.10584829634237	1	1	1	DOWN
AC004381.4	-0.834753312961429	1	1	1	DOWN
AC004453.1	0.295285215243586	1	1	1	UP
AC004477.1	0.7777412544807	1	1	1	UP
AC004477.3	0.340424843586003	1	1	1	UP
AC004490.1	0.40698367760961	1	1	2	UP
AC004494.1	0.73598632714567	1	1	1	UP
AC004538.3	-0.159982748984971	1	1	2	DOWN
AC004540.1	0.427100649380737	1	1	1	UP
AC004540.2	-0.0299900524712262	1	1	1	DOWN
AC004556.3	-0.315704858511544	1	1	1	DOWN
AC004596.1	-0.10796590277268	1	1	1	DOWN
AC004623.1	0.557662462810595	1	1	1	UP
AC004687.1	1.01846900107657	1	1	1	UP
AC004687.2	0.528888767521074	1	1	1	UP
AC004692.5	0.146645852846303	1	1	2	UP
AC004706.1	1.44131585150274	1	1	1	UP
AC004706.3	0.0360948944576274	1	1	1	UP
AC004771.1	-0.558955254906104	1	1	1	DOWN
AC004771.3	0.367182848302584	1	1	1	UP
AC004771.5	0.137386112586731	1	1	1	UP
AC004801.2	0.185285458626588	1	1	1	UP
AC004801.6	-0.216226764357246	1	1	1	DOWN
AC004803.1	-0.238524078381652	1	1	1	DOWN
AC004812.2	0.549447754207551	1	1	1	UP
AC004816.1	-1.18166731088091	1	1	1	DOWN
AC004825.2	0.0220766189378136	1	1	1	UP
AC004846.1	1.29941452879543	1	1	1	UP
AC004846.2	-1.06396903375243	1	1	1	DOWN
AC004847.1	1.03495260153846	1	1	1	UP
AC004863.1	0.18068978238793	1	1	1	UP
AC004865.2	0.807005866919787	1	1	1	UP
AC004877.2	0.720222652761829	1	1	1	UP
AC004889.1	-1.09534806912623	1	1	1	DOWN
AC004890.2	-0.502857694997527	1	1	1	DOWN
AC004893.3	-0.636381216965814	1	1	1	DOWN
AC004908.1	-0.423560232681026	1	1	1	DOWN
AC004908.2	-0.06383875756443	1	1	1	DOWN
AC004908.3	-0.917276397791674	1	1	1	DOWN
AC004917.1	0.394399657933439	1	1	1	UP
AC004921.1	0.932771248541072	1	1	1	UP
AC004923.4	0.829272174066331	1	1	1	UP
AC004938.2	0.0539981672947412	1	1	1	UP
AC004941.5	-0.0112969443947835	1	1	2	UP
AC004943.2	-0.11039902346796	1	1	1	DOWN
AC004947.3	0.368623476392859	1	1	1	UP
AC004951.2	0.274689845208428	1	1	1	UP
AC004951.6	0.459321830571979	1	1	2	UP
AC004967.1	0.831858717418131	1	1	1	UP
AC004967.2	0.0398985877058987	1	1	1	UP
AC004980.7	0.241720335767411	1	1	1	UP
AC004982.2	-0.628841196046686	1	1	1	DOWN
AC004987.2	-0.786618176952387	1	1	1	DOWN
AC004988.1	0.727593166269611	1	1	1	UP
AC005000.1	-0.231382175086848	1	1	1	DOWN
AC005034.5	0.292829910305028	1	1	1	UP
AC005050.3	1.06461355031718	1	1	1	UP
AC005052.2	-0.470617496890648	1	1	1	DOWN
AC005070.3	-1.26277020038237	1	1	1	DOWN
AC005071.1	0.539907411318318	1	1	1	UP
AC005082.1	-0.0248534386626892	1	1	1	DOWN
AC005104.1	0.584011454122544	1	1	1	UP
AC005154.2	0.25198619058052	1	1	1	UP
